2026-06-22 12:40:44 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:41:06 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:41:10 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:41:10 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:43:34 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:43:34 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:43:35 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
2026-06-22 12:43:40 | INFO     | postprocessing.detection | detection:23 | PeakDetector initialized: min_distance=20, threshold_abs=0.5, max_particles=10000
2026-06-22 12:43:40 | INFO     | postprocessing.detection | detection:131 | NMS initialized: threshold=0.3, particle_size_range=[32, 256]
