2026-06-22 12:40:37 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:40:38 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:40:38 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:40:39 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:41:04 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:41:05 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:41:05 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:41:06 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:43:32 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 12:43:33 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:43:34 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 12:43:35 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:09:13 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 13:09:17 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:09:19 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:09:21 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:10:33 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=32, num_res_blocks=4, attention_heads=4, total_params=2.27M, trainable_params=2.27M
2026-06-22 13:10:35 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:10:36 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
2026-06-22 13:10:39 | INFO     | modeling.segmentation | segmentation:81 | LightResUNet_MSA initialized: in_channels=1, out_channels=2, base_channels=16, num_res_blocks=2, attention_heads=2, total_params=0.04M, trainable_params=0.04M
