2026-06-22 12:40:37 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:40:37 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:40:38 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:40:38 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:40:39 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:41:04 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:41:04 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:41:05 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:41:05 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:41:06 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:43:32 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:43:32 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 12:43:33 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:43:34 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 12:43:35 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:09:13 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 13:09:13 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 13:09:17 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:09:19 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:09:21 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:10:32 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 13:10:33 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=32, num_blocks=4, output_channels=[32, 64, 128, 256]
2026-06-22 13:10:35 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:10:36 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
2026-06-22 13:10:39 | INFO     | modeling.backbone    | backbone:78 | LightResNet initialized: in_channels=1, base_channels=16, num_blocks=2, output_channels=[16, 32]
